SeriesName,SeasonNumber,EpisodeNumber,EpisodeTitle,AirDate
Breaking Bad,-5,,,
  BREAKING BAD  , 4 , 7 ,  end game  ,2008-06-16
  CHERNOBYL  , 1 , 11 ,  the truth  ,2019-04-01
Breaking Bad,2,3,Final Chapter,2021-04-15
The Bear,4,4,New Dawn,2016-12-09
Chernobyl,2,14,Pilot,2013-12-07
The Wire,0,6,Fallout,not a date
Severance,2,4,The Beginning,2007-11-04
Chernobyl,0,4,Fallout,99/99/9999
Chernobyl,4,2,Final Chapter,2022-40-99
Better Call Saul,4,8,The Descent,2018-07-09
The Wire,0,11,Breaking Point,not a date
Game of Thrones,5,13,Untitled,2004-04-18
Chernobyl,one,6,Untitled,2011-06-13
Dark,4,11,Untitled,2013-10-21
Severance,2,6,New Dawn,2007-08-20
Stranger Things,4,0,The Descent,0000-00-00
The Wire,5,0,The Awakening,2022-40-99
Severance,2,5,Fallout,2005-07-13
Better Call Saul,5,6,End Game,2018-05-10
The Bear,1,0,Pilot,99/99/9999
   ,5,4,Last Stand,2001-03-06
Chernobyl,4,2,Final Chapter,2005-07-09
,3,5,Rising Sun,2012-11-10
Game of Thrones,0,3,New Dawn,yesterday
,3,15,Crossroads,2007-02-22
Chernobyl,4,6,New Dawn,2019-05-21
The Bear,0,4,The Descent,
Severance,5,  ,Breaking Point,2002-08-22
Severance,1,0,Reckoning,not a date
The Bear,1,1,,2018-08-03
Game of Thrones,5,4,Redemption,2015-09-09
Game of Thrones,  ,13,Rising Sun,2016-03-02
The Wire,2,7,Last Stand,N/A
Better Call Saul,5,5,Rising Sun,not a date
Breaking Bad,5,4,End Game,yesterday
Breaking Bad,3,7,Reckoning,2004-09-29
Chernobyl,3,4,The Return,2003-04-22
The Bear,4,two,Last Stand,2018-03-31
Stranger Things,5,9,Aftermath,2020-05-04
  THE BEAR  , 4 , 1 ,  into the dark  ,2000-02-24
Chernobyl,3,7,End Game,2021-04-13
Game of Thrones,3.5,12,No Way Out,2008-06-08
The Bear,4,6,Last Stand,2003-02-07
Game of Thrones,4,14,The Beginning,2022-40-99
Game of Thrones,2,5,Rising Sun,2012-12-23
Game of Thrones,-5,1,Into the Dark,2003-12-10
Sopranos,1,two,Reckoning,2003-02-01
Game of Thrones,one,2,The Descent,2016-09-12
Chernobyl,2,13,The Awakening,2019-10-08
The Bear,1,6,The Awakening,2009-08-10
Severance,,11,Pilot,2010-09-28
Breaking Bad,2,14,The Beginning,2018-01-20
,5,6,The Awakening,2007-12-12
The Wire,two,8,No Way Out,2018-08-21
Sopranos,0,5,Untitled,N/A
Better Call Saul,0,9,The Return,2022-40-99
Stranger Things,abc,13,Crossroads,2018-08-29
The Wire,3,3,Crossroads,2013-08-14
Sopranos,3,10,New Dawn,2018-02-06
Game of Thrones,3,6,No Way Out,2008-12-18
Breaking Bad,4,9,Rising Sun,2021-10-28
Sopranos,5,6,Rising Sun,2016-02-22
Dark,2,5,The Return,yesterday
Game of Thrones,1,12,New Dawn,2022-40-99
Dark,5,12,The Descent,2017-12-09
The Bear,1,9,,2010-01-07
Game of Thrones,3,0,The Return,2022-40-99
The Bear,2,N/A,No Way Out,2008-12-04
The Bear,-5,3,Crossroads,2003-06-17
Game of Thrones,3,1,Final Chapter,2012-06-03
The Bear,3,0,Fallout,yesterday
The Wire,2,,Rising Sun,2016-07-01
Breaking Bad,5,4,End Game,2005-05-31
Dark,4,7,Last Stand,32-13-2020
Game of Thrones,3,abc,Breaking Point,2011-10-16
Better Call Saul,5,0,The Truth,2022-40-99
Sopranos,4,10,No Way Out,2002-08-05
Dark,4,11,Untitled,2013-10-21
  BETTER CALL SAUL  , 2 , 2 ,  the descent  ,2020-08-03
Sopranos,5,0,Untitled,N/A
   ,4,2,Fallout,2000-02-12
Severance,0,15,Final Chapter,N/A
Game of Thrones,4,14,Aftermath,not a date
Breaking Bad,1,15,Aftermath,2019-09-16
Sopranos,-5,15,The Truth,2009-03-02
Breaking Bad,3,10,New Dawn,2008-11-23
Sopranos,5,N/A,Fallout,2019-04-28
Game of Thrones,0,14,Reckoning,2009-08-17
The Bear,0,10,No Way Out,
Chernobyl,4,5,Rising Sun,2021-11-26
Game of Thrones,abc,15,Last Stand,2019-11-03
,4,11,New Dawn,2016-10-05
Dark,4,2,The Awakening,2022-40-99
Chernobyl,3,15,Fallout,0000-00-00
  BETTER CALL SAUL  , 5 , 1 ,  the beginning  ,2018-10-26
Breaking Bad,5,12,Last Stand,2021-04-02
Severance,2,11,The Return,2006-05-13
Chernobyl,3,6,The Descent,
Stranger Things,3,3.5,No Way Out,2002-09-21
Severance,5,3,New Dawn,2011-11-01
Chernobyl,5,4,Pilot,2001-08-04
Better Call Saul,1,1,The Awakening,yesterday
,2,5,The Awakening,2006-09-11
Severance,5,6,,2009-04-29
Chernobyl,0,13,Fallout,yesterday
Game of Thrones,5,0,Fallout,2022-40-99
Dark,5,1,Redemption,2001-09-08
Dark,5,10,No Way Out,2007-02-04
Sopranos,5,0,Fallout,yesterday
   ,4,6,The Awakening,2020-12-09
Chernobyl,,10,Reckoning,2003-11-28
The Bear,3,7,The Awakening,2018-09-12
   ,5,1,Rising Sun,2009-08-31
The Wire,abc,6,Fallout,2001-07-03
,5,5,Into the Dark,2018-04-18
Game of Thrones,2,11,Untitled,2017-10-06
Sopranos,0,2,Final Chapter,yesterday
The Bear,1,one,Pilot,2001-01-07
Stranger Things,4,2,Pilot,2012-11-15
The Bear,one,1,Reckoning,2007-05-24
Game of Thrones,1,3.5,New Dawn,2018-09-23
The Wire,2,1,Last Stand,2019-09-10
The Bear,0,3,Crossroads,2022-40-99
Severance,2,11,End Game,2006-05-13
Dark,4,11,Untitled,99/99/9999
Severance,2,5,Breaking Point,2005-07-13
Severance,2,4,Redemption,2007-11-04
The Wire,2,7,Crossroads,2006-11-13
The Wire,1,10,Untitled,32-13-2020
Better Call Saul,2,3,,2007-05-11
Stranger Things,0,14,The Return,99/99/9999
  THE BEAR  , 3 , 1 ,  into the dark  ,2020-09-22
Stranger Things,4,abc,Aftermath,2000-12-12
,5,5,The Awakening,2015-08-13
,5,12,Rising Sun,2004-04-11
Dark,3,14,,2000-01-25
The Bear,4,5,Final Chapter,
Severance,4,4,Final Chapter,2002-03-05
Chernobyl,3,4,Aftermath,2004-01-09
Dark,1,9,The Awakening,not a date
The Wire,N/A,15,Reckoning,2000-02-20
Chernobyl,4,2,Final Chapter,2005-07-09
Sopranos,4,0,Fallout,not a date
Stranger Things,3,0,The Descent,yesterday
The Wire,2,4,Pilot,yesterday
Chernobyl,2,5,End Game,yesterday
The Bear,2,8,Last Stand,2006-02-13
Severance,two,,,
The Wire,4,0,The Return,2006-05-28
The Bear,  ,4,End Game,2004-08-24
Chernobyl,2,14,Pilot,0000-00-00
Breaking Bad,  ,3,The Descent,2002-07-20
The Wire,5,8,Last Stand,2022-40-99
  BETTER CALL SAUL  , 3 , 1 ,  redemption  ,2013-11-09
Better Call Saul,4,0,New Dawn,0000-00-00
The Wire,4,3,The Truth,not a date
Dark,1,9,The Awakening,2015-05-28
The Wire,1,13,Untitled,2015-08-29
The Bear,4,9,New Dawn,32-13-2020
Dark,5,12,The Awakening,2017-12-09
Chernobyl,1,12,Into the Dark,0000-00-00
Dark,-5,8,Last Stand,2007-08-08
The Bear,4,9,New Dawn,2021-10-12
Game of Thrones,4,0,The Beginning,
Better Call Saul,5,-5,No Way Out,2002-06-29
The Bear,0,8,No Way Out,0000-00-00
Sopranos,2,abc,Into the Dark,2008-03-28
,4,9,Redemption,2003-05-05
  CHERNOBYL  , 2 , 1 ,  end game  ,2004-11-26
Better Call Saul,4,2,The Beginning,2019-04-25
The Bear,2,7,Last Stand,yesterday
Better Call Saul,1,11,The Awakening,2006-09-18
The Bear,2,3,,2013-09-13
Game of Thrones,0,12,No Way Out,32-13-2020
Breaking Bad,1,4,Last Stand,99/99/9999
Sopranos,3,13,Redemption,2019-02-21
Game of Thrones,2,5,Rising Sun,2019-12-15
Stranger Things,0,3,The Awakening,2022-40-99
Dark,4,9,Last Stand,2015-06-28
Better Call Saul,1,12,Reckoning,2001-04-13
Game of Thrones,1,13,Pilot,2021-04-19
Better Call Saul,-5,2,Aftermath,2002-06-27
  SEVERANCE  , 3 , 3 ,  untitled  ,2003-02-20
Sopranos,4,10,No Way Out,32-13-2020
Game of Thrones,5,13,Untitled,2004-04-18
Stranger Things,5,9,Pilot,2020-05-04
Better Call Saul,3,2,,2020-07-28
Dark,5,14,Last Stand,N/A
Chernobyl,5,0,The Descent,
The Wire,2,7,Last Stand,2006-11-13
Chernobyl,0,2,Fallout,2022-40-99
The Wire,0,13,Into the Dark,N/A
Game of Thrones,1,13,Pilot,2021-04-19
Chernobyl,two,4,Fallout,2001-09-24
,3,10,Reckoning,2011-05-18
Dark,5,1,Rising Sun,2001-09-08
Game of Thrones,N/A,,,
The Bear,3,7,Rising Sun,2018-09-12
Better Call Saul,1,1,Aftermath,2018-10-01
Breaking Bad,1,4,Last Stand,2011-05-02
The Bear,3,10,The Return,2015-10-20
Game of Thrones,3,15,The Beginning,2005-06-20
Game of Thrones,3,14,No Way Out,yesterday
Game of Thrones,4,11,,2002-02-20
The Bear,4,one,End Game,2018-10-07
Chernobyl,3,0,Rising Sun,32-13-2020
Dark,2,5,Untitled,2017-08-29
The Wire,0,9,Breaking Point,2022-40-99
The Bear,2,12,Reckoning,0000-00-00
Game of Thrones,3,13,The Awakening,2019-10-30
Better Call Saul,4,2,The Beginning,2019-04-25
Dark,5,4,New Dawn,2000-12-29
Sopranos,4,5,The Return,2005-08-21
Game of Thrones,3.5,7,Rising Sun,2009-10-09
Better Call Saul,  ,2,The Descent,2008-02-12
Sopranos,3.5,5,Untitled,2007-08-31
Dark,0,11,Rising Sun,N/A
The Bear,0,4,End Game,0000-00-00
Better Call Saul,4,8,Redemption,2006-09-01
The Wire,3,15,The Beginning,2020-02-28
Chernobyl,4,7,Final Chapter,2021-03-21
Sopranos,4,10,No Way Out,2002-08-05
Dark,4,8,The Return,2019-05-24
   ,4,8,The Return,2016-12-14
Sopranos,3,10,New Dawn,yesterday
Severance,0,9,Last Stand,99/99/9999
The Bear,1,2,Into the Dark,not a date
Better Call Saul,4,4,Redemption,2013-03-20
Chernobyl,2,13,Untitled,2019-10-08
The Wire,5,5,The Descent,2007-04-26
The Wire,4,3,Redemption,99/99/9999
Dark,5,11,Into the Dark,2022-40-99
Sopranos,1,2,Rising Sun,2002-03-03
   ,2,9,The Return,2012-07-30
Better Call Saul,3,5,Into the Dark,N/A
  DARK  , 3 , 3 ,  end game  ,2012-08-24
  BREAKING BAD  , 3 , 1 ,  untitled  ,2021-07-25
,1,7,The Beginning,2012-10-15
  GAME OF THRONES  , 2 , 4 ,  no way out  ,2004-04-21
The Wire,5,13,Rising Sun,2017-11-09
Stranger Things,5,11,New Dawn,2013-10-24
The Wire,1,1,Reckoning,2017-04-18
Better Call Saul,3,3,Aftermath,2019-10-04
,3,2,Breaking Point,2011-04-23
Chernobyl,1,10,Last Stand,2002-04-14
Chernobyl,2,11,,2016-12-04
Chernobyl,3,4,Aftermath,32-13-2020
Chernobyl,1,0,Reckoning,32-13-2020
The Bear,0,,,
Stranger Things,5,1,Aftermath,2013-01-23
The Bear,3,8,The Truth,2011-11-28
Stranger Things,2,,Into the Dark,2008-02-04
Breaking Bad,0,7,The Beginning,yesterday
The Bear,5,two,Fallout,2014-10-10
Dark,5,10,Crossroads,2005-01-22
Chernobyl,0,6,Fallout,2000-01-24
Better Call Saul,1,12,Reckoning,2001-04-13
The Wire,N/A,9,Breaking Point,2018-03-28
Severance,2,4,Redemption,N/A
The Wire,1,13,Untitled,2015-08-29
Severance,-5,10,Redemption,2006-02-15
Game of Thrones,0,15,End Game,2022-40-99
Dark,4,9,,2007-05-10
Better Call Saul,5,5,Final Chapter,2009-08-10
Stranger Things,4,0,Aftermath,yesterday
Better Call Saul,1,11,Rising Sun,2015-04-16
Dark,5,10,No Way Out,2022-40-99
The Wire,abc,,,
Better Call Saul,4,2,The Descent,2005-01-14
Better Call Saul,5,0,No Way Out,99/99/9999
